Iteration,First summary word count:,Second summary word count:
1,177,188
2,218,225
3,343,296
4,287,261
5,264,251
6,367,364
7,183,194
8,252,246
9,172,200
10,278,283
11,214,211
12,342,342
13,173,168
14,179,213
15,210,226
16,248,206
17,173,180
18,247,262
19,180,224
20,212,206
21,183,282
22,233,288
23,326,256
24,122,142
25,236,244
26,233,234
27,261,238
28,192,221
29,232,239
30,230,224
31,240,245
32,242,254
33,223,217
34,248,249
35,195,199
36,154,165
37,168,157
38,219,225
39,244,240
40,237,286
41,278,258
42,211,217
43,216,234
44,252,257
45,289,273
46,404,312
47,255,268
48,276,283
49,339,255
50,160,181
51,223,242
52,238,280
53,163,170
54,233,241
55,240,227
56,139,143
57,217,221
58,159,168
59,140,150
60,249,245
61,251,263
62,258,258
63,219,219
64,210,215
65,191,190
66,253,241
67,206,245
68,269,256
69,255,258
70,259,267
71,189,192
72,231,222
73,211,231
74,193,175
75,240,225
76,300,308
77,159,159
78,253,247
79,196,213
80,199,219
81,198,189
82,181,221
83,211,198
84,192,236
85,142,152
86,184,200
87,138,149
88,250,242
89,329,330
90,220,232
91,305,307
92,326,311
93,240,242
94,241,268
95,231,233
96,199,200
97,313,311
98,286,291
99,150,136
100,187,211
101,152,150
102,232,242
103,279,287
104,263,237
105,167,177
106,209,220
107,286,292
108,240,223
109,157,160
110,262,265
111,251,226
112,155,155
113,271,272
114,260,254
115,285,283
116,204,200
117,251,261
118,174,185
119,218,258
120,284,259
121,207,214
122,219,286
123,267,238
124,214,218
125,240,240
126,203,206
127,223,230
128,261,282
129,366,351
130,230,236
131,209,208
132,231,249
133,240,224
134,194,203
135,144,150
136,208,199
137,197,288
138,226,206
139,200,194
140,256,261
141,283,261
142,261,242
143,195,200
144,238,252
145,246,256
146,213,234
147,233,223
148,198,219
149,283,276
150,197,216
151,212,218
152,271,257
153,145,198
154,255,256
155,260,244
156,191,203
157,287,270
158,229,228
159,291,261
160,340,344
161,151,152
162,205,216
163,206,210
164,161,159
165,230,233
166,212,194
167,197,179
168,152,163
169,187,214
170,293,285
171,201,171
172,189,195
173,219,227
174,259,255
175,147,140
176,243,233
177,340,307
178,147,144
179,248,258
180,256,281
181,250,245
182,259,269
183,214,267
184,242,240
185,239,268
186,244,232
187,139,156
188,208,230
189,184,185
190,169,173
191,225,272
192,218,245
193,140,144
194,200,202
195,134,141
196,276,296
197,314,301
198,198,209
199,243,264
200,159,164
201,247,244
202,262,278
203,146,147
204,369,374
205,374,325
206,245,246
207,242,256
208,251,325
209,224,240
210,326,336
211,194,201
212,213,258
213,198,205
214,345,332
215,285,293
216,228,237
217,179,182
218,210,252
219,271,257
220,148,140
221,200,203
222,265,271
223,233,233
224,255,251
225,303,310
226,215,240
227,243,245
228,184,183
229,257,260
230,217,236
231,226,206
232,250,262
233,316,326
234,157,178
235,212,213
236,297,310
237,199,214
238,253,257
239,231,230
240,179,193
241,221,195
242,263,245
243,231,269
244,260,239
245,157,159
246,186,189
247,217,217
248,194,252
249,203,206
250,188,185
251,197,205
252,178,197
253,248,284
254,246,229
255,216,229
256,267,279
257,170,183
258,320,331
259,239,253
260,320,335
261,267,257
262,231,228
263,184,189
264,228,249
265,237,234
266,146,155
267,260,247
268,312,272
269,272,279
270,230,230
271,211,242
272,261,257
273,242,270
274,236,200
275,217,265
276,178,164
277,229,209
278,281,292
279,191,190
280,280,287
281,361,334
282,321,332
283,280,285
284,195,190
285,234,213
286,237,238
287,179,189
288,283,276
289,236,233
290,225,238
291,198,199
292,252,264
293,175,188
294,168,159
295,227,231
296,175,173
297,208,207
298,174,185
299,160,156
300,219,215
301,216,221
302,299,283
303,202,181
304,271,253
305,179,173
306,222,215
307,262,270
308,235,258
309,334,327
310,272,262
311,231,238
312,294,274
313,165,154
314,116,114
315,221,221
316,286,303
317,247,245
318,144,167
319,237,250
320,230,231
321,225,237
322,204,206
323,324,309
324,250,246
325,189,208
326,232,244
327,211,220
328,187,183
329,173,181
330,284,293
331,248,258
332,256,267
333,226,234
334,169,186
335,182,205
336,221,218
337,262,237
338,285,269
339,196,209
340,216,270
341,370,363
342,239,244
343,293,301
344,311,311
345,261,255
346,188,197
347,245,200
348,210,223
349,200,219
350,255,245
351,355,328
352,211,216
353,221,207
354,189,202
355,328,326
356,253,274
357,215,264
358,228,235
359,214,227
360,277,288
361,258,258
362,214,210
363,232,245
364,189,169
365,203,200
366,266,256
367,167,202
368,275,283
369,271,297
370,206,211
371,230,239
372,249,260
373,253,256
374,231,230
375,186,209
376,145,143
377,218,243
378,144,171
379,211,187
380,207,206
381,164,166
382,210,203
383,203,212
384,192,200
385,214,234
386,179,190
387,193,178
388,170,158
389,220,217
390,335,310
391,236,258
392,300,293
393,288,275
394,305,268
395,191,190
396,203,228
397,300,296
398,379,329
399,257,288
400,179,182
