Iteration,First summary word count:,Second summary word count:
1,277,294
2,242,294
3,228,243
4,203,222
5,250,315
6,204,239
7,194,249
8,191,195
9,231,286
10,281,294
11,248,250
12,232,232
13,185,174
14,161,188
15,179,255
16,301,313
17,212,222
18,237,222
19,245,250
20,309,340
21,228,240
22,244,293
23,226,225
24,238,251
25,162,196
26,226,247
27,278,302
28,223,306
29,271,293
30,247,243
31,231,251
32,196,248
33,202,253
34,164,237
35,260,258
36,237,292
37,227,279
38,343,352
39,179,188
40,200,243
41,155,152
42,264,286
43,246,266
44,360,348
45,253,266
46,223,241
47,259,288
48,193,223
49,252,240
50,175,161
51,228,234
52,249,241
53,177,204
54,227,243
55,228,236
56,191,213
57,286,277
58,236,236
59,247,233
60,156,168
61,256,247
62,279,313
63,271,269
64,254,259
65,242,234
66,209,221
67,213,221
68,280,293
69,185,190
70,260,272
71,228,238
72,209,223
73,171,257
74,266,268
75,223,235
76,196,206
77,278,313
78,183,215
79,296,314
80,166,214
81,237,283
82,289,289
83,185,275
84,224,234
85,227,251
86,242,256
87,184,187
88,232,254
89,230,251
90,202,230
91,165,183
92,274,287
93,217,258
94,162,169
95,214,230
96,221,210
97,207,224
98,309,330
99,141,156
100,195,240
101,200,219
102,237,244
103,263,330
104,303,289
105,180,253
106,255,254
107,161,192
108,246,227
109,189,185
110,181,209
111,330,307
112,308,249
113,224,231
114,253,259
115,243,259
116,186,189
117,273,286
118,194,190
119,222,251
120,303,289
121,227,254
122,211,223
123,221,217
124,159,206
125,306,327
126,173,190
127,270,324
128,296,313
129,224,253
130,233,213
131,248,296
132,234,224
133,278,296
134,222,210
135,218,221
136,258,252
137,247,245
138,251,262
139,305,313
140,218,249
141,263,278
142,328,354
143,300,253
144,210,226
145,243,281
146,182,218
147,244,279
148,177,211
149,232,297
150,218,265
151,295,299
152,218,253
153,254,268
154,168,222
155,154,159
156,251,250
157,239,237
158,218,253
159,330,324
160,207,166
161,180,197
162,161,161
163,208,212
164,220,249
165,161,185
166,168,202
167,266,318
168,215,230
169,227,217
170,211,214
171,199,227
172,215,281
173,197,206
174,147,147
175,282,292
176,303,308
177,240,228
178,235,233
179,282,249
180,236,283
181,274,281
182,235,234
183,223,267
184,382,389
185,248,261
186,216,238
187,228,236
188,180,188
189,208,241
190,211,219
191,219,245
192,190,208
193,260,268
194,308,290
195,231,245
196,218,200
197,185,202
198,188,237
199,282,278
200,243,232
201,264,265
202,203,201
203,208,247
204,233,281
205,275,304
206,192,224
207,200,194
208,244,238
209,191,207
210,259,163
211,271,259
212,252,315
213,215,224
214,254,264
215,251,270
216,253,287
217,212,238
218,226,210
219,234,254
220,197,235
221,261,281
222,259,271
223,249,270
224,197,201
225,256,269
226,263,286
227,302,328
228,255,246
229,191,183
230,203,237
231,177,177
232,269,208
233,224,298
234,163,203
235,223,223
236,232,244
237,203,227
238,178,189
239,182,195
240,277,223
241,351,352
242,193,213
243,159,165
244,268,252
245,243,251
246,196,248
247,253,286
